SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2022,France,FRA,Family,Children,,98.00102816293771,,Institut National de la Statistique et des Etudes Economiques,2026-07-06
9237,HHU4212-%_POP-ISCED34-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34,% of individuals,ITU Households Database,2022,France,FRA,Education,Upper secondary,,88.76431293357294,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9235,HHU4212-%_POP-ISCED2-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - FEMALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Lower secondary,Female,86.88169325245264,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9236,HHU4212-%_POP-ISCED2-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - MALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Lower secondary,Male,90.0000406130953,,Institut National de la Statistique et des Etudes Economiques,2025-07-04
9234,HHU4212-%_POP-ISCED2-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2,% of individuals,ITU Households Database,2022,France,FRA,Education,Lower secondary,,88.37756874335166,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2022,France,FRA,Location,No Children,Rural,79.57607004692264,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9238,HHU4212-%_POP-ISCED34-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - FEMALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Upper secondary,Female,90.55243932560066,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2022,France,FRA,Location,No Children,Urban,85.50068687344897,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9239,HHU4212-%_POP-ISCED34-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - MALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Upper secondary,Male,87.07325392485545,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9233,HHU4212-%_POP-ISCED01-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - MALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Primary or less,Male,49.88049465152658,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2022,France,FRA,Family,No Children,,84.31838823613911,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9240,HHU4212-%_POP-ISCED56-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56,% of individuals,ITU Households Database,2022,France,FRA,Education,Tertiary education,,97.05864439917401,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9241,HHU4212-%_POP-ISCED56-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - FEMALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Tertiary education,Female,97.29751010894522,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9231,HHU4212-%_POP-ISCED01-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01,% of individuals,ITU Households Database,2022,France,FRA,Education,Primary or less,,45.72317911522105,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2022,France,FRA,Location,Children,Rural,98.7875178522827,,Institut National de la Statistique et des Etudes Economiques,2025-07-04
9232,HHU4212-%_POP-ISCED01-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - FEMALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Primary or less,Female,42.73117430903943,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2022,Ghana,GHA,,,,68.52049528,,ITU estimate.,2026-02-02
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2022,Nigeria,NGA,,,,38.29732061,,ITU estimate.,2026-02-02
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2022,Portugal,PRT,,,,88.15037474,Households with at least one individual aged 16 to 74 years old,Instituto Nacional de Estatistica,2026-02-02
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2022,Portugal,PRT,Location,Urban,,93.00032978498405,,Instituto Nacional de Estatistica,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2022,Portugal,PRT,Location,Rural,,83.94157977830218,,Instituto Nacional de Estatistica,2026-07-06
9231,HHU4212-%_POP-ISCED01-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01,% of individuals,ITU Households Database,2022,Portugal,PRT,Education,Primary or less,,48.49329054137835,,Instituto Nacional de Estatistica,2026-07-07
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2022,Portugal,PRT,Family,No Children,,86.16213133590324,,Instituto Nacional de Estatistica,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2022,Portugal,PRT,Location,No Children,Urban,91.7436171378902,,Instituto Nacional de Estatistica,2025-07-04
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2022,Portugal,PRT,Location,Children,Urban,99.25885206641117,,Instituto Nacional de Estatistica,2026-07-05
9239,HHU4212-%_POP-ISCED34-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - MALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Upper secondary,Male,97.88147540331764,,Instituto Nacional de Estatistica,2026-07-07
9235,HHU4212-%_POP-ISCED2-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - FEMALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Lower secondary,Female,87.56676418541622,,Instituto Nacional de Estatistica,2026-07-07
9240,HHU4212-%_POP-ISCED56-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56,% of individuals,ITU Households Database,2022,Portugal,PRT,Education,Tertiary education,,98.69509276359686,,Instituto Nacional de Estatistica,2026-07-07
9241,HHU4212-%_POP-ISCED56-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - FEMALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Tertiary education,Female,98.78969569986621,,Instituto Nacional de Estatistica,2026-07-07
9237,HHU4212-%_POP-ISCED34-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34,% of individuals,ITU Households Database,2022,Portugal,PRT,Education,Upper secondary,,97.23207378412778,,Instituto Nacional de Estatistica,2026-07-07
9238,HHU4212-%_POP-ISCED34-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - FEMALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Upper secondary,Female,96.60456903943988,,Instituto Nacional de Estatistica,2026-07-07
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2022,Portugal,PRT,Family,Children,,99.37269423954308,,Instituto Nacional de Estatistica,2026-07-06
9232,HHU4212-%_POP-ISCED01-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - FEMALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Primary or less,Female,42.815904038683975,,Instituto Nacional de Estatistica,2026-07-07
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2022,Portugal,PRT,Location,Children,Rural,99.49418289821303,,Instituto Nacional de Estatistica,2026-07-06
9236,HHU4212-%_POP-ISCED2-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - MALE,% of individuals,ITU Households Database,2022,Portugal,PRT,Gender,Lower secondary,Male,91.75708773512771,,Instituto Nacional de Estatistica,2026-07-07
